year,revenue,gross_profit,operating_income,net_income,assets,current_assets,cash,receivables,inventory,liabilities,current_liabilities,equity,cfo,avg_assets,avg_equity,revenue_growth,gross_margin,operating_margin,net_margin,roa,roe,current_ratio,debt_ratio,equity_ratio,cfo_net_income,total_asset_turnover
2016,17197975000000.0,6410836000000.0,3276746000000.0,2960483000000.0,32216026000000.0,9838982000000.0,613786000000.0,3251652000000.0,2026198000000.0,8192496000000.0,4160849000000.0,24023530000000.0,,,,,0.37276691005772483,0.19053092006471692,0.17214137129516702,,,2.3646573091212875,0.34101965864300543,0.7457012233600755,,
2017,30109434000000.0,17407591000000.0,13721326000000.0,10642219000000.0,45418464000000.0,17310444000000.0,2949991000000.0,5552795000000.0,2640439000000.0,11597545000000.0,8116133000000.0,33820919000000.0,,38817245000000.0,28922224500000.0,0.7507546091909076,0.5781440793606416,0.45571517551608576,0.3534513136314685,0.27416214107930637,0.3679599057119552,2.132843806280651,0.3429104040608713,0.7446513162576348,,0.775671586172589
2018,40445066000000.0,25264228000000.0,20843750000000.0,15539984000000.0,63658335000000.0,19894146000000.0,2349319000000.0,6319994000000.0,4422733000000.0,16806004000000.0,13031852000000.0,46852331000000.0,,54538399500000.0,40336625000000.0,0.3432688904082355,0.6246553782357531,0.5153595249418063,0.3842244688140699,0.2849365610738174,0.3852574180412962,1.5265785707204165,0.35870155531856035,0.7359968023040502,,0.7415887956154635
2019,26990733000000.0,8165458000000.0,2712718000000.0,2016391000000.0,64789494000000.0,14457602000000.0,2306070000000.0,4261674000000.0,5295835000000.0,16846299000000.0,7874033000000.0,47943195000000.0,,64223914500000.0,47397763000000.0,-0.3326569673541885,0.3025282047730975,0.10050553276933975,0.07470678917834503,0.031396264393071215,0.042541902241251345,1.8361114310798545,0.35138039924122705,0.7399840937174166,,0.4202598550731441
2020,31900418000000.0,10810629000000.0,5012624000000.0,4758914000000.0,71173853000000.0,16570953000000.0,2975989000000.0,4931322000000.0,6136318000000.0,19264756000000.0,9072360000000.0,51909097000000.0,12314571000000.0,67981673500000.0,49926146000000.0,0.18190261820603393,0.3388867506375622,0.15713348959878834,0.14918030227691687,0.07000289570688488,0.09531907389767277,1.8265316852505853,0.37112485312545507,0.7293281846073445,2.587685131523705,0.46925026051322494
2021,42997792000000.0,18952192000000.0,12410340000000.0,9616188000000.0,96386474000000.0,26870451000000.0,5057982000000.0,8267111000000.0,8916605000000.0,34195416000000.0,14769356000000.0,62191058000000.0,19797648000000.0,83780163500000.0,57050077500000.0,0.34787550432724745,0.4407712842557125,0.28862737881982403,0.22364376291694235,0.11477881634833524,0.16855696646512006,1.819338026654649,0.5498445773345744,0.6452259888664461,2.058783376531324,0.5132216291270427
2022,44621568000000.0,15627855000000.0,6809417000000.0,2241669000000.0,103871512000000.0,28733332000000.0,4977007000000.0,5186054000000.0,15664707000000.0,40580970000000.0,19843696000000.0,63290542000000.0,14780517000000.0,100128993000000.0,62740800000000.0,0.03776417170444479,0.35023096902376893,0.1526037139707865,0.05023734262319065,0.02238781129058194,0.035729047127228214,1.4479828757707234,0.6411853764816866,0.6093156899458632,6.5935323189998165,0.44564083451832975
2023,32765719000000.0,-533448000000.0,-7730313000000.0,-9137547000000.0,100330165000000.0,30468100000000.0,7587329000000.0,6600273000000.0,13480659000000.0,46826413000000.0,21007810000000.0,53503752000000.0,,102100838500000.0,58397147000000.0,-0.2656977226797588,-0.016280674323063078,-0.23592685391704665,-0.27887521711334945,-0.08949531790573885,-0.15647249000023922,1.450322522909337,0.875198677655354,0.5332768265655697,,0.32091527828148053
2024,66192960000000.0,,23467319000000.0,19796902000000.0,119855209000000.0,42278887000000.0,11205117000000.0,13019006000000.0,13313937000000.0,45939505000000.0,24965444000000.0,73915704000000.0,29795885000000.0,110092687000000.0,63709728000000.0,1.020189454716376,,0.35452892573470046,0.2990786633503019,0.17982031812885083,0.31073593659040577,1.6934962983233945,0.6215121079006432,0.6167083151137803,1.50507816829118,0.6012475651538962
2025,97146675000000.0,,47206319000000.0,42947902000000.0,176107659000000.0,69458073000000.0,14923766000000.0,18199078000000.0,14289390000000.0,55440908000000.0,37378999000000.0,120666751000000.0,53373126000000.0,147981434000000.0,97291227500000.0,0.46762850611303675,,0.4859283037736495,0.4420933809623438,0.2902249345684811,0.4414365313666127,1.8582111575540052,0.4594547175634156,0.6851874114117887,1.2427411704534486,0.656478805307428
